"well","cell.count"
"A01.fcs",27
"A02.fcs",70
"A03.fcs",140
"A04.fcs",24
"A05.fcs",23
"A06.fcs",526
"A07.fcs",4
"B01.fcs",29
"B02.fcs",26
"B03.fcs",70
"B04.fcs",12
"B05.fcs",37
"B06.fcs",185
"C01.fcs",72
"C02.fcs",2994
"C03.fcs",47
"C04.fcs",20
"C05.fcs",252
"C06.fcs",12
"D01.fcs",24
"D02.fcs",312
"D03.fcs",1239
"D04.fcs",73
"D05.fcs",150
"D06.fcs",129
"E01.fcs",62
"E02.fcs",16
"E03.fcs",31
"E04.fcs",16
"E05.fcs",405
"E06.fcs",25
"F01.fcs",39
"F02.fcs",18
"F03.fcs",71
"F04.fcs",12
"F05.fcs",35
"F06.fcs",9
"G01.fcs",14
"G02.fcs",135
"G03.fcs",34
"G04.fcs",31
"G05.fcs",204
"G06.fcs",18
"H01.fcs",231
"H02.fcs",27
"H03.fcs",21
"H04.fcs",125
"H05.fcs",398
"H06.fcs",122
