"well","cell.count"
"A01.fcs",144
"A02.fcs",80
"A03.fcs",356
"A04.fcs",148
"A05.fcs",83
"A06.fcs",1557
"A07.fcs",12
"B01.fcs",52
"B02.fcs",128
"B03.fcs",76
"B04.fcs",34
"B05.fcs",112
"B06.fcs",433
"C01.fcs",142
"C02.fcs",9486
"C03.fcs",157
"C04.fcs",96
"C05.fcs",625
"C06.fcs",38
"D01.fcs",52
"D02.fcs",85
"D03.fcs",4649
"D04.fcs",724
"D05.fcs",402
"D06.fcs",240
"E01.fcs",101
"E02.fcs",109
"E03.fcs",26
"E04.fcs",49
"E05.fcs",1707
"E06.fcs",120
"F01.fcs",175
"F02.fcs",39
"F03.fcs",121
"F04.fcs",34
"F05.fcs",39
"F06.fcs",119
"G01.fcs",26
"G02.fcs",333
"G03.fcs",116
"G04.fcs",57
"G05.fcs",229
"G06.fcs",44
"H01.fcs",1118
"H02.fcs",79
"H03.fcs",97
"H04.fcs",77
"H05.fcs",439
"H06.fcs",305
