Pond	mean
A1	15.8163025064103
A10	11.7399303510513
A11	15.8059750969231
A12	12.4168133081795
A2	11.389061567641
A4	11.9100854765641
A6	15.8165353728205
A7	11.8680887277179
B12	12.121997078641
B2	11.557171356
B4	11.8639746933846
B5	11.6640183746154
B8	11.9552485274615
B9	15.7863664225641
C1	11.5700211371282
C10	15.8580391923077
C12	12.0156726526154
C3	15.8200188184615
C6	11.7781871672051
C8	15.8002258394872
C9	11.8390628565897
D1	11.8410474072564
D10	11.9286077880513
D11	15.7816916330769
D12	15.8330190815385
D2	15.8120253838462
D5	11.7988522964872
D6	11.4567725249487
D7	15.8187570976923
D8	11.6590987678718
E1	15.7984597446154
E12	11.9730874054103
E3	11.7599609971026
E4	15.8587807230769
E6	11.8637749634872
E7	15.7521605648718
E8	11.8471314578205
F1	11.8881174929487
F11	12.0294667913333
F2	15.6840593889744
F3	15.8208318297436
F4	11.7879280308205
F5	11.6198765152821
F9	11.5533418967436
G12	15.7884246753846
G4	15.8159382515385
G6	11.8790977121795
G7	11.0922772879487
G8	11.665033808
G9	15.6238026807692
H1	11.6050483702821
H10	11.7263810169744
H11	15.6902226287179
H12	11.6451214530513
H2	11.4355845109744
H4	15.8129264628205
H6	11.7204444118462
H8	15.7295488153846
