Pond	mean
A1	12.9650298321818
A10	9.00594457433333
A11	12.9755943784545
A12	9.43998905509091
A2	8.76941444772727
A4	9.22371589954546
A6	12.9398220211212
A7	9.0540825310303
B12	9.19126125042424
B2	8.75030024093939
B4	9.07042264966667
B5	8.87605721254545
B8	9.23961168927273
B9	12.9325270956667
C1	8.89295306572727
C10	12.9680661042727
C12	9.36835524536364
C3	12.9537989847273
C6	9.07492934548485
C8	12.9736547192121
C9	9.31898321809091
D1	9.11874377975758
D10	8.9540165699697
D11	12.9518578016061
D12	12.9615789173939
D2	12.9489306096061
D5	9.01554919548485
D6	8.37331390178788
D7	12.9636592371818
D8	9.2681157509697
E1	12.9678520805455
E12	9.04301921351515
E3	8.83532538833333
E4	12.9673677342424
E6	9.14722164284849
E7	12.9414834439697
E8	9.19003001360606
F1	8.95146531445454
F11	9.17697191063636
F2	12.5482927417879
F3	12.9567920152424
F4	9.21415144363636
F5	8.55042599548485
F9	9.06448210621212
G12	12.9531230509091
G4	12.9860374612121
G6	8.50193577493939
G7	8.80016300733333
G8	8.82885503215152
G9	12.9632504671515
H1	8.72331740309091
H10	8.96590210772727
H11	12.5787215262424
H12	8.86270829751515
H2	8.33077669042424
H4	12.9430937925152
H6	8.87413330939394
H8	12.9551489511212
