Pond	mean
A1	20.857326309697
A10	16.6279716006061
A11	20.9260822518182
A12	17.3243179763636
A2	16.264654399697
A3	21.7496645287879
A4	17.3244307618182
A5	17.8644649484848
A6	20.8002400730303
A7	16.9384439534615
A8	21.9947319738462
A9	18.8929103692308
B1	18.0781982609091
B10	23.8444858318182
B11	18.8470735745455
B12	16.5600941978788
B2	15.8984424854545
B3	22.4924106057576
B4	17.1852651221212
B5	16.901318810303
B6	23.6491407472727
B7	19.9207557307692
B8	17.246110015
B9	20.9199912384615
C1	16.7651278078788
C10	20.8461739887879
C11	23.8565847245455
C12	17.2493014890909
C2	18.8458578481818
C3	20.8529989372727
C4	23.8163900930303
C5	18.8632222330303
C6	16.8401809769697
C7	18.9334600588462
C8	21.00099762
C9	17.4093952761538
D1	17.4291310318182
D10	16.9253561609091
D11	20.8904325481818
D12	20.8325082433333
D2	20.8068481581818
D3	22.8296399506061
D4	18.7567626739394
D5	16.7177745242424
D6	16.163148190303
D7	20.9935647034615
D8	17.458777205
D9	22.9898702261538
E1	20.858732059697
E10	18.8495417348485
E11	19.8797904642424
E12	15.7642546457576
E2	23.7708698730303
E3	15.8110053548485
E4	20.8661182887879
E5	19.8336576042424
E6	17.0283480833333
E7	20.8334757872727
E8	17.1661117793939
E9	18.8487458754545
F1	17.0183452706061
F10	21.3106478451515
F11	17.22081787
F12	18.8153757015152
F2	20.2310492160606
F3	20.8390755454545
F4	15.2350927554545
F5	16.451118560303
F6	21.7264076745455
F7	24.7890437093939
F8	18.4625465418182
F9	17.1708233542424
G1	18.8815670239394
G10	18.8561725742424
G11	21.8229711748485
G12	20.8409001433333
G2	17.9072801345455
G3	18.8207089090909
G4	20.8986182409091
G5	19.8608825006061
G6	16.4027081866667
G7	17.2131266012121
G8	16.8398071118182
G9	20.7371824375758
H1	16.7370443939394
H10	16.6681392372727
H11	20.493862789697
H12	16.3286642509091
H2	16.2360387760606
H3	24.7733595606061
H4	20.8561803272727
H5	18.7006120809091
H6	16.92699
H7	23.5958222218182
H8	20.841783220303
H9	17.8395442681818
