Pond	sum
A1	616.83579775
A10	457.857283691
A11	616.43302878
A12	484.255719019
A2	444.173401138
A4	464.493333586
A6	616.84487954
A7	462.855460381
B12	472.757886067
B2	450.729682884
B4	462.695013042
B5	454.89671661
B8	466.254692571
B9	615.66829048
C1	451.230824348
C10	618.4635285
C12	468.611233452
C3	616.98073392
C6	459.349299521
C8	616.20880774
C9	461.723451407
D1	461.800848883
D10	465.215703734
D11	615.48597369
D12	617.48774418
D2	616.66898997
D5	460.155239563
D6	446.814128473
D7	616.93152681
D8	454.704851947
E1	616.13993004
E12	466.950408811
E3	458.638478887
E4	618.4924482
E6	462.687223576
E7	614.33426203
E8	462.038126855
F1	463.636582225
F11	469.149204862
F2	611.67831617
F3	617.01244136
F4	459.729193202
F5	453.175184096
F9	450.580333973
G12	615.74856234
G4	616.82159181
G6	463.284810775
G7	432.59881423
G8	454.936318512
G9	609.32830455
H1	452.596886441
H10	457.328859662
H11	611.91868252
H12	454.159736669
H2	445.987795928
H4	616.70413205
H6	457.097332062
H8	613.4524038
