Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP	Dosing	lnATP	Temp
F10	6°„C	6°„C	NONE		Ammonia	1.890024216	Pre	0.636589642	6
F11	CONTROL	0°„C	NONE	CONTROL	No Ammonia	5.315693107	Pre	1.670663409	0
F12	2°„C	2°„C	NONE		Ammonia	1.624239561	Pre	0.485039744	2
G1	2°„C	2°„C	NONE		No Ammonia	1.683302817	Pre	0.520757826	2
G2	1°„C	1°„C	NONE		Ammonia	3.573327033	Pre	1.273497104	1
G3	2°„C	2°„C	NONE		No Ammonia	4.695528911	Pre	1.54661076	2
G4	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	1.506113047	Pre	0.409532191	4
G5	3°„C	3°„C	NONE		No Ammonia	1.830960959	Pre	0.604840943	3
G6	UR+RU	0°„C	NONE	UR+RU	No Ammonia	2.155808871	Pre	0.768165999	0
G7	RU	0°„C	NONE	RU	Ammonia	2.244403756	Pre	0.808439898	0
G8	CONTROL	0°„C	NONE	CONTROL	No Ammonia	1.830960959	Pre	0.604840943	0
G9	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	Ammonia	0.91548048	Pre	-0.088306237	4
G10	2°„C	2°„C	NONE		No Ammonia	1.890024216	Pre	0.636589642	2
G11	5°„C	5°„C	NONE		Ammonia	14.64768767	Pre	2.684282485	5
G12	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	Ammonia	1.535644675	Pre	0.428950277	4
H1	CONTROL	0°„C	NONE	CONTROL	Ammonia	5.876794046	Pre	1.771011383	0
H2	UR+RU	0°„C	NONE	UR+RU	No Ammonia	2.303467013	Pre	0.834415385	0
H3	8°„C	8°„C	NONE		No Ammonia	0.738290709	Pre	-0.303417617	8
H4	4°„C	4°„C	NONE	4°„C	No Ammonia	1.801429331	Pre	0.588580423	4
H5	2°„C	2°„C	NONE		No Ammonia	26.75565531	Pre	3.286745864	2
H6	UR	0°„C	NONE	UR	Ammonia	1.033606993	Pre	0.03305462	0
H7	7°„C	7°„C	NONE		Ammonia	3.602858662	Pre	1.281727603	7
H8	4°„C	4°„C	NONE	4°„C	Ammonia	3.80958006	Pre	1.337518963	4
H9	1°„C	1°„C	NONE		Ammonia	3.425668891	Pre	1.231296749	1
H10	CONTROL	0°„C	NONE	CONTROL	Ammonia	1.919555844	Pre	0.652093828	0
H11	4°„C	4°„C	NONE	4°„C	No Ammonia	6.467426614	Pre	1.866778288	4
H12	UR+RU	0°„C	NONE	UR+RU	Ammonia	3.63239029	Pre	1.289890914	0
A1	4°„C	4°„C	NONE	4°„C	No Ammonia	16.47864863	Post	2.802065521	4
A2	CONTROL	0°„C	NONE	CONTROL	Ammonia	11.90124623	Post	2.47664312	0
A3	5°„C	5°„C	NONE		No Ammonia	1.476581419	Post	0.389729564	5
A4	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	1.771897702	Post	0.57205112	0
A5	1°„C	1°„C	NONE		No Ammonia	0.708759081	Post	-0.344239611	1
A6	4°„C	4°„C	NONE	4°„C	Ammonia	3.80958006	Post	1.337518963	4
A7	CONTROL	0°„C	NONE	CONTROL	No Ammonia	0.856417223	Post	-0.154997612	0
A8	5°„C	5°„C	NONE		No Ammonia	0.738290709	Post	-0.303417617	5
A9	2°„C	2°„C	NONE		Ammonia	13.23016951	Post	2.582499791	2
A10	UR	0°„C	UR	UR	No Ammonia	3.248479121	Post	1.178186924	0
A11	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	0.029531628	Post	-3.522293454	4
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	0.738290709	Post	-0.303417617	0
B1	1°„C	1°„C	NONE		No Ammonia	4.075364716	Post	1.404960244	1
B2	UR	0°„C	UR	UR	Ammonia	2.805504696	Post	1.03158345	0
B3	6°„C	6°„C	NONE		No Ammonia	4.193491229	Post	1.433533616	6
B4	CONTROL	0°„C	NONE	CONTROL	No Ammonia	6.201641959	Post	1.824814089	0
B5	RU	0°„C	RU	RU	No Ammonia	9.154804796	Post	2.214278856	0
