Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	lnATP
C10	4°„C	4°„C	4°„C	Ammonia	1.594707932	Post	0.466690604735716
C12	RU		RU	Ammonia	0.91548048	Post	-0.0883062367770228
D1	RU		RU	No Ammonia	0.029531628	Post	-3.52229345437004
D2	4°„C	4°„C	4°„C	Ammonia	0	Post	-Inf
D5	UR		UR	Ammonia	1.830960959	Post	0.604840943236761
D6	CONTROL	CONTROL	CONTROL	No Ammonia	1.417518162	Post	0.348907569236101
D7	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.088594885	Post	-2.4236811544146
D8	UR		UR	No Ammonia	0.797353966	Post	-0.22645657582423
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.826885594	Post	-0.190088932101265
D11	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.649695824	Post	-0.43125098869827
D12	4°„C	4°„C	4°„C	No Ammonia	2.894099581	Post	1.06267403708516
E1	4°„C	4°„C	4°„C	No Ammonia	0.118126513	Post	-2.13599908478465
E3	UR		UR	No Ammonia	0	Post	-Inf
E4	4°„C	4°„C	4°„C	Ammonia	0	Post	-Inf
E6	RU		RU	Ammonia	0.236253027	Post	-1.44285189999195
E7	4°„C	4°„C	4°„C	Ammonia	4.636465655	Post	1.53395236370348
E8	UR+RU		UR+RU	Ammonia	0.856417223	Post	-0.154997611539359
E12	UR		UR	Ammonia	2.982694466	Post	1.09282707521138
F1	RU		RU	Ammonia	0.472506054	Post	-0.749704719432009
F2	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.118126513	Post	-2.13599908478465
F3	4°„C	4°„C	4°„C	Ammonia	0.531569311	Post	-0.63192168330532
F4	UR+RU		UR+RU	Ammonia	0.236253027	Post	-1.44285189999195
F5	CONTROL	CONTROL	CONTROL	No Ammonia	0.383911169	Post	-0.957344083884657
F9	RU		RU	No Ammonia	1.742366074	Post	0.555244002162188
F11	CONTROL	CONTROL	CONTROL	No Ammonia	0.236253027	Post	-1.44285189999195
G4	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.324847912	Post	-1.12439816925822
G6	UR+RU		UR+RU	No Ammonia	1.210796763	Post	0.191278624722804
G7	RU		RU	Ammonia	4.459275884	Post	1.49498639500298
G8	CONTROL	CONTROL	CONTROL	No Ammonia	0.029531628	Post	-3.52229345437004
G9	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.059063257	Post	-2.82914625687909
G12	UR+RU+4°„C		UR+RU+4°„C	Ammonia	1.26986002	Post	0.238906673923336
H1	CONTROL	CONTROL	CONTROL	Ammonia	3.100820979	Post	1.1316669083648
H2	UR+RU		UR+RU	No Ammonia	0.679227453	Post	-0.386799225190543
H4	4°„C	4°„C	4°„C	No Ammonia	0.885948851	Post	-0.121096060291818
H6	UR		UR	Ammonia	0.590632567	Post	-0.526561168964349
H8	4°„C	4°„C	4°„C	Ammonia	0.118126513	Post	-2.13599908478465
H10	CONTROL	CONTROL	CONTROL	Ammonia	0	Post	-Inf
H11	4°„C	4°„C	4°„C	No Ammonia	4.754592168	Post	1.5591109232338
H12	UR+RU		UR+RU	Ammonia	0	Post	-Inf
