Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	lnATP
B4	CONTROL	CONTROL	CONTROL	No Ammonia	271.690981	Post	5.60466532118131
B5	RU		RU	No Ammonia	456.2636584	Post	6.1230708406678
B8	CONTROL	CONTROL	CONTROL	Ammonia	431.1617743	Post	6.06648336608262
B9	4°„C	4°„C	4°„C	No Ammonia	112.2201878	Post	4.72046290381991
B12	CONTROL	CONTROL	CONTROL	Ammonia	307.1289351	Post	5.72726764345767
C1	UR+RU		UR+RU	Ammonia	298.2694466	Post	5.69799726119947
C3	4°„C	4°„C	4°„C	No Ammonia	121.0796763	Post	4.7964488107109
C6	RU		RU	No Ammonia	93.02462938	Post	4.53286429013445
C8	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	222.9637942	Post	5.40700940043112
C9	UR		UR	No Ammonia	332.2308192	Post	5.80582996590434
C10	4°„C	4°„C	4°„C	Ammonia	267.2612368	Post	5.58822659504557
C12	RU		RU	Ammonia	172.760026	Post	5.15190349859029
D1	RU		RU	No Ammonia	76.78223377	Post	4.34097328227266
D2	4°„C	4°„C	4°„C	Ammonia	132.8923277	Post	4.88953923418068
D5	UR		UR	Ammonia	270.2143996	Post	5.59921571648213
D6	CONTROL	CONTROL	CONTROL	No Ammonia	233.2998642	Post	5.45232459694406
D7	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	38.39111689	Post	3.64782610184296
D8	UR		UR	No Ammonia	290.8865395	Post	5.67293329251583
D10	CONTROL	CONTROL	CONTROL	Ammonia	101.8841179	Post	4.62383606841496
D11	UR+RU+4°„C		UR+RU+4°„C	Ammonia	48.72718682	Post	3.88623712524849
D12	4°„C	4°„C	4°„C	No Ammonia	104.8372807	Post	4.65240944049959
E1	4°„C	4°„C	4°„C	No Ammonia	831.3153387	Post	6.72300919182838
E3	UR		UR	No Ammonia	121.0796763	Post	4.7964488107109
E4	4°„C	4°„C	4°„C	Ammonia	190.479003	Post	5.24954196801959
E6	RU		RU	Ammonia	422.3022857	Post	6.04572137442821
E7	4°„C	4°„C	4°„C	Ammonia	202.2916544	Post	5.30971048973896
E8	UR+RU		UR+RU	Ammonia	221.4872128	Post	5.40036485779618
E12	UR		UR	Ammonia	122.5562578	Post	4.80857017190993
F1	RU		RU	Ammonia	82.68855945	Post	4.41508125449151
F2	UR+RU+4°„C		UR+RU+4°„C	Ammonia	134.3689091	Post	4.90058907022669
F3	4°„C	4°„C	4°„C	Ammonia	118.1265135	Post	4.77175619843024
F4	UR+RU		UR+RU	Ammonia	78.25881519	Post	4.36002147726056
F5	CONTROL	CONTROL	CONTROL	No Ammonia	98.93095505	Post	4.59442218308415
F9	RU		RU	No Ammonia	106.3138621	Post	4.66639568230211
F11	CONTROL	CONTROL	CONTROL	No Ammonia	156.5176304	Post	5.05316865794829
G4	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	125.5094206	Post	4.83238082029647
G6	UR+RU		UR+RU	No Ammonia	156.5176304	Post	5.05316865794829
G7	RU		RU	Ammonia	308.6055165	Post	5.73206381566041
G8	CONTROL	CONTROL	CONTROL	No Ammonia	169.8068632	Post	5.13466169237725
G9	UR+RU+4°„C		UR+RU+4°„C	Ammonia	63.493001	Post	4.15092967935148
G12	UR+RU+4°„C		UR+RU+4°„C	Ammonia	60.53983817	Post	4.10330163048131
H1	CONTROL	CONTROL	CONTROL	Ammonia	927.2931309	Post	6.83226973014367
H2	UR+RU		UR+RU	No Ammonia	228.8701199	Post	5.43315468064829
H4	4°„C	4°„C	4°„C	No Ammonia	305.6523537	Post	5.72244835708307
H6	UR		UR	Ammonia	150.6113047	Post	5.01470237695763
H8	4°„C	4°„C	4°„C	Ammonia	881.519107	Post	6.78164667715605
H10	CONTROL	CONTROL	CONTROL	Ammonia	183.0960959	Post	5.21001112922485
H11	4°„C	4°„C	4°„C	No Ammonia	472.506054	Post	6.15805055955013
H12	UR+RU		UR+RU	Ammonia	431.1617743	Post	6.06648336608262
