Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	lnATP
C9	UR		UR	No Ammonia	7.205717323	Post	1.97487478355202
C10	4°„C	4°„C	4°„C	Ammonia	6.17211033	Post	1.82004081023226
C12	RU		RU	Ammonia	3.543795405	Post	1.26519830111026
D1	RU		RU	No Ammonia	1.004075365	Post	0.00406708319335667
D2	4°„C	4°„C	4°„C	Ammonia	2.628314925	Post	0.966342927917673
D5	UR		UR	Ammonia	5.374756364	Post	1.68171324535849
D6	CONTROL	CONTROL	CONTROL	No Ammonia	4.636465655	Post	1.53395236370348
D7	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.708759081	Post	-0.344239611323845
D8	UR		UR	No Ammonia	5.758667533	Post	1.75070611687025
D10	CONTROL	CONTROL	CONTROL	Ammonia	2.244403756	Post	0.808439898391765
D11	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.91548048	Post	-0.0883062367770228
D12	4°„C	4°„C	4°„C	No Ammonia	2.037682358	Post	0.711813062986814
E1	4°„C	4°„C	4°„C	No Ammonia	3.071289351	Post	1.12209745746958
E3	UR		UR	No Ammonia	2.598783297	Post	0.955043372806416
E4	4°„C	4°„C	4°„C	Ammonia	3.98676983	Post	1.38298133660987
E6	RU		RU	Ammonia	8.623235485	Post	2.15446036053851
E7	4°„C	4°„C	4°„C	Ammonia	4.075364716	Post	1.40496024354676
E8	UR+RU		UR+RU	Ammonia	4.459275884	Post	1.49498639500298
E12	UR		UR	Ammonia	1.742366074	Post	0.555244002162188
F1	RU		RU	Ammonia	1.594707932	Post	0.466690604735716
F2	UR+RU+4°„C		UR+RU+4°„C	Ammonia	2.628314925	Post	0.966342927917673
F3	4°„C	4°„C	4°„C	Ammonia	2.421593527	Post	0.884425805695701
F4	UR+RU		UR+RU	Ammonia	1.506113047	Post	0.409532190969541
F5	CONTROL	CONTROL	CONTROL	No Ammonia	1.919555844	Post	0.652093828028489
F9	RU		RU	No Ammonia	2.214872128	Post	0.795194671808084
F11	CONTROL	CONTROL	CONTROL	No Ammonia	3.307542378	Post	1.1962054296233
G4	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	2.628314925	Post	0.966342927917673
G6	UR+RU		UR+RU	No Ammonia	3.248479121	Post	1.17818692404367
G7	RU		RU	Ammonia	6.142578702	Post	1.81524463802953
G8	CONTROL	CONTROL	CONTROL	No Ammonia	3.366605635	Post	1.21390500679696
G9	UR+RU+4°„C		UR+RU+4°„C	Ammonia	1.240328392	Post	0.215376176813138
G12	UR+RU+4°„C		UR+RU+4°„C	Ammonia	1.299391648	Post	0.261896191861676
H1	CONTROL	CONTROL	CONTROL	Ammonia	18.48679936	Post	2.91705692927955
H2	UR+RU		UR+RU	No Ammonia	4.518339141	Post	1.50814447963765
H4	4°„C	4°„C	4°„C	No Ammonia	6.053983817	Post	1.80071653748727
H6	UR		UR	Ammonia	2.953162837	Post	1.08287674414699
H8	4°„C	4°„C	4°„C	Ammonia	17.57131888	Post	2.86626796369599
H10	CONTROL	CONTROL	CONTROL	Ammonia	3.868643317	Post	1.35290388149705
H11	4°„C	4°„C	4°„C	No Ammonia	9.391057823	Post	2.23975794108177
H12	UR+RU		UR+RU	Ammonia	8.564172228	Post	2.14758748122116
