Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
B4	CONTROL	CONTROL	CONTROL	No Ammonia	0	Post	0	-Inf
B6	7°„C	7°„C		No Ammonia	0.00948013	Post	7	-4.65855724972906
B7	3°„C	3°„C		No Ammonia	0	Post	3	-Inf
B8	CONTROL	CONTROL	CONTROL	Ammonia	0	Post	0	-Inf
B9	4°„C	4°„C	4°„C	No Ammonia	0	Post	4	-Inf
B10	8°„C	8°„C		No Ammonia	0.008829044	Post	8	-4.72970853749826
B11	2°„C	2°„C		Ammonia	0.000823181	Post	2	-7.10233445437163
B12	CONTROL	CONTROL	CONTROL	Ammonia	0.005619926	Post	0	-5.18143678242301
C2	2°„C	2°„C		Ammonia	0.00020547	Post	2	-8.49021052008635
C3	4°„C	4°„C	4°„C	No Ammonia	0.002257195	Post	4	-6.09363238700554
C4	8°„C	8°„C		Ammonia	0.000615242	Post	8	-7.39349487162202
C5	2°„C	2°„C		Ammonia	0.002220778	Post	2	-6.10989769404091
C7	2°„C	2°„C		No Ammonia	0.004543327	Post	2	-5.39409571592664
C10	4°„C	4°„C	4°„C	Ammonia	0.003815091	Post	4	-5.56879076131919
C11	7°„C	7°„C		No Ammonia	0.00402704	Post	7	-5.51472366420958
D2	4°„C	4°„C	4°„C	Ammonia	0	Post	4	-Inf
D3	6°„C	6°„C		Ammonia	0.00039384	Post	6	-7.83956582251433
D4	2°„C	2°„C		Ammonia	0.000244737	Post	2	-8.31532639338823
D6	CONTROL	CONTROL	CONTROL	No Ammonia	0.005906326	Post	0	-5.13173129908014
D9	6°„C	6°„C		No Ammonia	0.002139973	Post	6	-6.1469620668504
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.006615085	Post	0	-5.01840263191349
D12	4°„C	4°„C	4°„C	No Ammonia	0.080391655	Post	4	-2.52084490171648
E1	4°„C	4°„C	4°„C	No Ammonia	0.001169569	Post	4	-6.75111997410798
E2	7°„C	7°„C		Ammonia	0.009482633	Post	7	-4.65829325866251
E4	4°„C	4°„C	4°„C	Ammonia	0	Post	4	-Inf
E5	3°„C	3°„C		Ammonia	0.002595046	Post	3	-5.95415103612448
E7	4°„C	4°„C	4°„C	Ammonia	0.017901412	Post	4	-4.02287568656494
E9	2°„C	2°„C		Ammonia	0.00283828	Post	2	-5.86455704408207
E10	2°„C	2°„C		No Ammonia	0.049043597	Post	2	-3.01504564175692
E11	3°„C	3°„C		Ammonia	0	Post	3	-Inf
F3	4°„C	4°„C	4°„C	Ammonia	0.004393135	Post	4	-5.42771218375273
F5	CONTROL	CONTROL	CONTROL	No Ammonia	0.009843876	Post	0	-4.62090574303815
F6	5°„C	5°„C		Ammonia	0.003474309	Post	5	-5.66235966865931
F7	8°„C	8°„C		Ammonia	0.020523714	Post	8	-3.88617428090499
F8	2°„C	2°„C		No Ammonia	0.006877229	Post	2	-4.97953946979504
F10	6°„C	6°„C		Ammonia	0	Post	6	-Inf
F11	CONTROL	CONTROL	CONTROL	No Ammonia	0.005135935	Post	0	-5.2714933684378
F12	2°„C	2°„C		Ammonia	0.000861339	Post	2	-7.05702240280416
G1	2°„C	2°„C		No Ammonia	0	Post	2	-Inf
G2	1°„C	1°„C		Ammonia	0.002128406	Post	1	-6.15238193622705
G3	2°„C	2°„C		No Ammonia	0.001272915	Post	2	-6.6664457330423
