Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
B4	CONTROL	CONTROL	CONTROL	No Ammonia	6.201641959	Post	0	1.82481408908599
B6	7°„C	7°„C		No Ammonia	7.914476404	Post	7	2.06869353877589
B7	3°„C	3°„C		No Ammonia	9.863563877	Post	3	2.28884755127956
B8	CONTROL	CONTROL	CONTROL	Ammonia	8.652767114	Post	0	2.15787916735972
B9	4°„C	4°„C	4°„C	No Ammonia	2.273935385	Post	4	0.821511980236865
B10	8°„C	8°„C		No Ammonia	2.067213986	Post	8	0.726201800256633
B11	2°„C	2°„C		Ammonia	2.746441439	Post	2	1.01030605152698
B12	CONTROL	CONTROL	CONTROL	Ammonia	3.957238202	Post	0	1.37554635821595
C2	2°„C	2°„C		Ammonia	2.1853405	Post	2	0.781771651646778
C3	4°„C	4°„C	4°„C	No Ammonia	2.53972004	Post	4	0.932053854483282
C4	8°„C	8°„C		Ammonia	0.797353966	Post	8	-0.22645657582423
C5	2°„C	2°„C		Ammonia	4.488807513	Post	2	1.50158707917449
C7	2°„C	2°„C		No Ammonia	0.679227453	Post	2	-0.386799225190543
C10	4°„C	4°„C	4°„C	Ammonia	6.17211033	Post	4	1.82004081023226
C11	7°„C	7°„C		No Ammonia	1.771897702	Post	7	0.572051120268127
D2	4°„C	4°„C	4°„C	Ammonia	2.628314925	Post	4	0.966342927917673
D3	6°„C	6°„C		Ammonia	5.315693107	Post	6	1.67066340912436
D4	2°„C	2°„C		Ammonia	3.661921918	Post	2	1.29798812379671
D6	CONTROL	CONTROL	CONTROL	No Ammonia	4.636465655	Post	0	1.53395236370348
D9	6°„C	6°„C		No Ammonia	1.919555844	Post	6	0.652093828028489
D10	CONTROL	CONTROL	CONTROL	Ammonia	2.244403756	Post	0	0.808439898391765
D12	4°„C	4°„C	4°„C	No Ammonia	2.037682358	Post	4	0.711813062986814
E1	4°„C	4°„C	4°„C	No Ammonia	3.071289351	Post	4	1.12209745746958
E2	7°„C	7°„C		Ammonia	2.096745615	Post	7	0.740386435548374
E4	4°„C	4°„C	4°„C	Ammonia	3.98676983	Post	4	1.38298133660987
E5	3°„C	3°„C		Ammonia	15.06113047	Post	3	2.71211728396359
E7	4°„C	4°„C	4°„C	Ammonia	4.075364716	Post	4	1.40496024354676
E9	2°„C	2°„C		Ammonia	8.268855945	Post	2	2.11249616149746
E10	2°„C	2°„C		No Ammonia	13.112043	Post	2	2.57353112087483
E11	3°„C	3°„C		Ammonia	5.256629851	Post	3	1.65949010866785
F3	4°„C	4°„C	4°„C	Ammonia	2.421593527	Post	4	0.884425805695701
F5	CONTROL	CONTROL	CONTROL	No Ammonia	1.919555844	Post	0	0.652093828028489
F6	5°„C	5°„C		Ammonia	4.577402398	Post	5	1.52113167522015
F7	8°„C	8°„C		Ammonia	12.61000532	Post	8	2.53449057186413
F8	2°„C	2°„C		No Ammonia	2.1853405	Post	2	0.781771651646778
F10	6°„C	6°„C		Ammonia	2.037682358	Post	6	0.711813062986814
