Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	lnATP
C9	UR		UR	No Ammonia	0.024702557	Post	-3.70084851843906
C10	4°„C	4°„C	4°„C	Ammonia	0.003815091	Post	-5.56879076131919
C12	RU		RU	Ammonia	0.003124507	Post	-5.76847876823919
D1	RU		RU	No Ammonia	0.000567916	Post	-7.47353703750348
D2	4°„C	4°„C	4°„C	Ammonia	0	Post	-Inf
D5	UR		UR	Ammonia	0.004554629	Post	-5.39161120054455
D6	CONTROL	CONTROL	CONTROL	No Ammonia	0.005906326	Post	-5.13173129908014
D7	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.00082799	Post	-7.09650948094663
D8	UR		UR	No Ammonia	0.013514474	Post	-4.30399401972995
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.006615085	Post	-5.01840263191349
D11	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.007218842	Post	-4.93106072675254
D12	4°„C	4°„C	4°„C	No Ammonia	0.080391655	Post	-2.52084490171648
E1	4°„C	4°„C	4°„C	No Ammonia	0.001169569	Post	-6.75111997410798
E3	UR		UR	No Ammonia	0	Post	-Inf
E4	4°„C	4°„C	4°„C	Ammonia	0	Post	-Inf
E6	RU		RU	Ammonia	0.001968775	Post	-6.23034375705826
E7	4°„C	4°„C	4°„C	Ammonia	0.017901412	Post	-4.02287568656494
E8	UR+RU		UR+RU	Ammonia	0.012234532	Post	-4.40349283373858
E12	UR		UR	Ammonia	0.034283844	Post	-3.37308105618336
F1	RU		RU	Ammonia	0.002700035	Post	-5.91449054309291
F2	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.003028885	Post	-5.7995607139833
F3	4°„C	4°„C	4°„C	Ammonia	0.004393135	Post	-5.42771218375273
F4	UR+RU		UR+RU	Ammonia	0.006948618	Post	-4.96921248809937
F5	CONTROL	CONTROL	CONTROL	No Ammonia	0.009843876	Post	-4.62090574303815
F9	RU		RU	No Ammonia	0.056205357	Post	-2.87874320634048
F11	CONTROL	CONTROL	CONTROL	No Ammonia	0.005135935	Post	-5.2714933684378
G4	UR+RU+4°„C		UR+RU+4°„C	No Ammonia	0.005699086	Post	-5.1674494678764
G6	UR+RU		UR+RU	No Ammonia	0.027518108	Post	-3.59291101828038
G7	RU		RU	Ammonia	0.033278178	Post	-3.40285341212399
G8	CONTROL	CONTROL	CONTROL	No Ammonia	0.000509166	Post	-7.58273646491646
G9	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.00236253	Post	-6.0480222002643
G12	UR+RU+4°„C		UR+RU+4°„C	Ammonia	0.016074177	Post	-4.13054120768076
H1	CONTROL	CONTROL	CONTROL	Ammonia	0.002773543	Post	-5.8876297147132
H2	UR+RU		UR+RU	No Ammonia	0.008597816	Post	-4.75624706146269
H4	4°„C	4°„C	4°„C	No Ammonia	0.011505829	Post	-4.4649015024627
H6	UR		UR	Ammonia	0.0019365	Post	-6.24687305900947
H8	4°„C	4°„C	4°„C	Ammonia	0.000102808	Post	-9.18264738695943
H10	CONTROL	CONTROL	CONTROL	Ammonia	0	Post	-Inf
H11	4°„C	4°„C	4°„C	No Ammonia	0.007337334	Post	-4.91477971759321
H12	UR+RU		UR+RU	Ammonia	0	Post	-Inf
