Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
B4	CONTROL	CONTROL	CONTROL	No Ammonia	0	Post	0	-Inf
B6	7°„C	7°„C		No Ammonia	4.104896344	Post	7	1.41218049142845
B7	3°„C	3°„C		No Ammonia	0	Post	3	-Inf
B8	CONTROL	CONTROL	CONTROL	Ammonia	0	Post	0	-Inf
B9	4°„C	4°„C	4°„C	No Ammonia	0	Post	4	-Inf
B10	8°„C	8°„C		No Ammonia	0.856417223	Post	8	-0.154997611539359
B11	2°„C	2°„C		Ammonia	0.236253027	Post	2	-1.44285189999195
B12	CONTROL	CONTROL	CONTROL	Ammonia	6.142578702	Post	0	1.81524463802953
C2	2°„C	2°„C		Ammonia	1.949087473	Post	2	0.667361300482901
C3	4°„C	4°„C	4°„C	No Ammonia	0.35437954	Post	4	-1.03738679329471
C4	8°„C	8°„C		Ammonia	0.059063257	Post	8	-2.82914625687909
C5	2°„C	2°„C		Ammonia	1.387986534	Post	2	0.327854160308444
C7	2°„C	2°„C		No Ammonia	0.118126513	Post	2	-2.13599908478465
C10	4°„C	4°„C	4°„C	Ammonia	1.594707932	Post	4	0.466690604735716
C11	7°„C	7°„C		No Ammonia	0.35437954	Post	7	-1.03738679329471
D2	4°„C	4°„C	4°„C	Ammonia	0	Post	4	-Inf
D3	6°„C	6°„C		Ammonia	1.830960959	Post	6	0.604840943236761
D4	2°„C	2°„C		Ammonia	0.17718977	Post	2	-1.73053397385465
D6	CONTROL	CONTROL	CONTROL	No Ammonia	1.417518162	Post	0	0.348907569236101
D9	6°„C	6°„C		No Ammonia	0.295316284	Post	6	-1.21970834783119
D10	CONTROL	CONTROL	CONTROL	Ammonia	0.826885594	Post	0	-0.190088932101265
D12	4°„C	4°„C	4°„C	No Ammonia	2.894099581	Post	4	1.06267403708516
E1	4°„C	4°„C	4°„C	No Ammonia	0.118126513	Post	4	-2.13599908478465
E2	7°„C	7°„C		Ammonia	1.033606993	Post	7	0.0330546196966879
E4	4°„C	4°„C	4°„C	Ammonia	0	Post	4	-Inf
E5	3°„C	3°„C		Ammonia	4.429744256	Post	3	1.48834185236803
E7	4°„C	4°„C	4°„C	Ammonia	4.636465655	Post	4	1.53395236370348
E9	2°„C	2°„C		Ammonia	2.480656783	Post	2	0.908523356969964
E10	2°„C	2°„C		No Ammonia	2.746441439	Post	2	1.01030605152698
E11	3°„C	3°„C		Ammonia	0	Post	3	-Inf
F3	4°„C	4°„C	4°„C	Ammonia	0.531569311	Post	4	-0.63192168330532
F5	CONTROL	CONTROL	CONTROL	No Ammonia	0.383911169	Post	0	-0.957344083884657
F6	5°„C	5°„C		Ammonia	0.413442797	Post	5	-0.88323611266121
F7	8°„C	8°„C		Ammonia	23.68436596	Post	8	3.16481516633195
F8	2°„C	2°„C		No Ammonia	1.004075365	Post	2	0.00406708319335667
F10	6°„C	6°„C		Ammonia	0	Post	6	-Inf
F11	CONTROL	CONTROL	CONTROL	No Ammonia	0.236253027	Post	0	-1.44285189999195
F12	2°„C	2°„C		Ammonia	0.620164196	Post	2	-0.477771003746808
G1	2°„C	2°„C		No Ammonia	0	Post	2	-Inf
G2	1°„C	1°„C		Ammonia	0.708759081	Post	1	-0.344239611323845
G3	2°„C	2°„C		No Ammonia	0.147658142	Post	2	-1.91285552839114
G5	3°„C	3°„C		No Ammonia	0.088594885	Post	3	-2.4236811544146
G8	CONTROL	CONTROL	CONTROL	No Ammonia	0.029531628	Post	0	-3.52229345437004
G10	2°„C	2°„C		No Ammonia	0.059063257	Post	2	-2.82914625687909
G11	5°„C	5°„C		Ammonia	2.421593527	Post	5	0.884425805695701
H1	CONTROL	CONTROL	CONTROL	Ammonia	3.100820979	Post	0	1.1316669083648
H3	8°„C	8°„C		No Ammonia	1.151733507	Post	8	0.141268204783453
H4	4°„C	4°„C	4°„C	No Ammonia	0.885948851	Post	4	-0.121096060291818
H5	2°„C	2°„C		No Ammonia	5.168034965	Post	2	1.64249253213079
H7	7°„C	7°„C		Ammonia	0	Post	7	-Inf
H8	4°„C	4°„C	4°„C	Ammonia	0.118126513	Post	4	-2.13599908478465
H9	1°„C	1°„C		Ammonia	0	Post	1	-Inf
H10	CONTROL	CONTROL	CONTROL	Ammonia	0	Post	0	-Inf
H11	4°„C	4°„C	4°„C	No Ammonia	4.754592168	Post	4	1.5591109232338
