Ponds	Group	Temperature	Ammonia	Apr12_W	Apr12_SW	Apr12_S	Apr12_Cellcount	May17_W	May17_SW	May17_S	May17_Cellcount	Apr12_percell	May17_percell
E2	7°„C	7	Yes	0.118126513	1.063138621	277.5973067	16	1.033606993	2.096745615	95.97779222	109	0.007382907	0.009482633
E3	URBAN		No	0.767822338	10.69044947	795.8773847	31	0	2.598783297	121.0796763	26	0.024768463	0
E4	4°„C	4	Yes	0.088594885	2.598783297	128.4625834	16	0	3.98676983	190.479003	49	0.00553718	0
E5	3°„C	3	Yes	1.801429331	6.644616384	90.07146654	405	4.429744256	15.06113047	744.197035	1707	0.004447974	0.002595046
E6	RURAL		Yes	1.712834446	1.565176304	302.6991908	25	0.236253027	8.623235485	422.3022857	120	0.068513378	0.001968775
E7	4°„C	4	Yes	0.147658142	1.919555844	320.4181679	52	4.636465655	4.075364716	202.2916544	259	0.00283958	0.017901412
E8	RU+UR		Yes	0.147658142	3.337074006	17.71897702	29	0.856417223	4.459275884	221.4872128	70	0.00509166	0.012234532
E9	2°„C	2	Yes	2.332998642	2.303467013	2.953162837	185	2.480656783	8.268855945	391.294076	874	0.012610803	0.00283828
E10	2°„C	2	No	0.295316284	5.81773079	197.8619101	27	2.746441439	13.112043	654.1255685	56	0.01093764	0.049043597
E11	3°„C	3	Yes	0.206721399	2.303467013	214.1043057	108	0	5.256629851	261.3549111	404	0.001914087	0
E12	URBAN		Yes	0.206721399	1.358454905	19.19555844	28	2.982694466	1.742366074	122.5562578	87	0.007382907	0.034283844
F1	RURAL		Yes	0.206721399	2.155808871	234.7764456	39	0.472506054	1.594707932	82.68855945	175	0.005300549	0.002700035
F2	RU+UR+4°„C		Yes	0.088594885	2.687378182	171.2834446	18	0.118126513	2.628314925	134.3689091	39	0.004921938	0.003028885
F3	4°„C	4	Yes	0.17718977	0.885948851	22.14872128	71	0.531569311	2.421593527	118.1265135	121	0.002495631	0.004393135
F4	RU+UR		Yes	0.118126513	1.358454905	1207.8436	12	0.236253027	1.506113047	78.25881519	34	0.009843876	0.006948618
F5	CONTROL	0	No	0.206721399	3.189415864	220.0106314	35	0.383911169	1.919555844	98.93095505	39	0.005906326	0.009843876
F6	5°„C	5	Yes	0.236253027	3.159884236	677.7508712	9	0.413442797	4.577402398	231.8232827	119	0.026250336	0.003474309
F7	8°„C	8	Yes	5.788199161	4.459275884	2967.928652	467	23.68436596	12.61000532	1182.741716	1154	0.012394431	0.020523714
F8	2°„C	2	No	0.118126513	2.096745615	91.54804796	106	1.004075365	2.1853405	104.8372807	146	0.001114401	0.006877229
F9	RURAL		No	0.147658142	1.506113047	135.8454905	30	1.742366074	2.214872128	106.3138621	31	0.004921938	0.056205357
F10	6°„C	6	Yes	0.35437954	1.890024216	301.2226094	25	0	2.037682358	97.45437363	79	0.014175182	0
