Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP_max	Year	ATP
F6	5°„C	5°„C	NONE		Ammonia	300.808	2019	8.88335006792275
F7	8°„C	8°„C	NONE		Ammonia	118.376	2019	3.49583604039927
F8	2°„C	2°„C	NONE		No Ammonia	134.676	2019	3.97720158289528
F9	RU	0°„C	NONE	RU	No Ammonia	55.616	2019	1.64243104364775
F10	6°„C	6°„C	NONE		Ammonia	234.68	2019	6.93048254680763
F11	CONTROL	0°„C	NONE	CONTROL	No Ammonia	97.992	2019	2.89386332762389
F12	2°„C	2°„C	NONE		Ammonia	242.896	2019	7.17311440552832
G1	2°„C	2°„C	NONE		No Ammonia	201.84	2019	5.96066387100585
G2	1°„C	1°„C	NONE		Ammonia	167.184	2019	4.9372157580769
G3	2°„C	2°„C	NONE		No Ammonia	170.28	2019	5.02864567952277
G4	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	No Ammonia	146.16	2019	4.31634280314217
G5	3°„C	3°„C	NONE		No Ammonia	162.908	2019	4.81093851514972
G6	UR+RU	0°„C	NONE	UR+RU	No Ammonia	101.948	2019	3.01069044947138
G7	RU	0°„C	NONE	RU	Ammonia	97.36	2019	2.87519933849152
G8	CONTROL	0°„C	NONE	CONTROL	No Ammonia	129.644	2019	3.82859842891737
G9	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	Ammonia	76.2	2019	2.25031008209793
G10	2°„C	2°„C	NONE		No Ammonia	120.08	2019	3.54615793514854
G11	5°„C	5°„C	NONE		Ammonia	112.124	2019	3.31120429980509
G12	UR+RU+4°„C	4°„C	NONE	UR+RU+4°„C	Ammonia	130.544	2019	3.85517689445396
H1	CONTROL	0°„C	NONE	CONTROL	Ammonia	181.78	2019	5.36825940582364
H2	UR+RU	0°„C	NONE	UR+RU	No Ammonia	180.676	2019	5.33565648809875
H3	8°„C	8°„C	NONE		No Ammonia	81.68	2019	2.41214340558738
H4	4°„C	4°„C	NONE	4°„C	No Ammonia	93.52	2019	2.76179788553541
H5	2°„C	2°„C	NONE		No Ammonia	59.04	2019	1.74354733920028
H6	UR	0°„C	NONE	UR	Ammonia	93.492	2019	2.76097099994094
H7	7°„C	7°„C	NONE		Ammonia	72.44	2019	2.13927115941173
H8	4°„C	4°„C	NONE	4°„C	Ammonia	310.164	2019	9.15964798298978
H9	1°„C	1°„C	NONE		Ammonia	113.816	2019	3.36117181501388
H10	CONTROL	0°„C	NONE	CONTROL	Ammonia	252.436	2019	7.45484614021617
H11	4°„C	4°„C	NONE	4°„C	No Ammonia	240.26	2019	7.09526903313449
H12	UR+RU	0°„C	NONE	UR+RU	Ammonia	246.1	2019	7.26773374283858
A1	4°„C	4°„C	NONE	4°„C	No Ammonia	195	2021	5.75866753292777
A2	CONTROL	0°„C	NONE	CONTROL	Ammonia	15	2021	0.442974425609828
A3	5°„C	5°„C	NONE		No Ammonia	4	2021	0.118126513495954
A4	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	82	2021	2.42159352666706
A5	1°„C	1°„C	NONE		No Ammonia	109	2021	3.21894749276475
A6	4°„C	4°„C	NONE	4°„C	Ammonia	36	2021	1.06313862146359
A7	CONTROL	0°„C	NONE	CONTROL	No Ammonia	79	2021	2.33299864154509
A8	5°„C	5°„C	NONE		No Ammonia	71	2021	2.09674561455319
A9	2°„C	2°„C	NONE		Ammonia	35	2021	1.0336069930896
A10	UR	0°„C	UR	UR	No Ammonia	78	2021	2.30346701317111
A11	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	144	2021	4.25255448585435
A12	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	43	2021	1.26986002008151
B1	1°„C	1°„C	NONE		No Ammonia	76	2021	2.24440375642313
B2	UR	0°„C	UR	UR	Ammonia	87	2021	2.569251668537
B3	6°„C	6°„C	NONE		No Ammonia	46	2021	1.35845490520347
B4	CONTROL	0°„C	NONE	CONTROL	No Ammonia	118	2021	3.48473214813065
B5	RU	0°„C	RU	RU	No Ammonia	75	2021	2.21487212804914
