Ponds	Group	Temperature	Treatment	Ammonia	BOD	Dosing	Temp
E7	4°„C	4°„C	4°„C	Ammonia	3.2	Post	4
E9	2°„C	2°„C		Ammonia	5.1	Post	2
E10	2°„C	2°„C		No Ammonia	5.3	Post	2
E11	3°„C	3°„C		Ammonia	3.3	Post	3
F3	4°„C	4°„C	4°„C	Ammonia	7	Post	4
F5	CONTROL	CONTROL	CONTROL	No Ammonia	7	Post	0
F6	5°„C	5°„C		Ammonia	4	Post	5
F7	8°„C	8°„C		Ammonia	8.4	Post	8
F8	2°„C	2°„C		No Ammonia	5.7	Post	2
F10	6°„C	6°„C		Ammonia	4.1	Post	6
F11	CONTROL	CONTROL	CONTROL	No Ammonia	5.1	Post	0
F12	2°„C	2°„C		Ammonia	9.3	Post	2
G1	2°„C	2°„C		No Ammonia	4.1	Post	2
G2	1°„C	1°„C		Ammonia	4.1	Post	1
G3	2°„C	2°„C		No Ammonia	7.2	Post	2
G5	3°„C	3°„C		No Ammonia	4.7	Post	3
G8	CONTROL	CONTROL	CONTROL	No Ammonia	4.9	Post	0
G10	2°„C	2°„C		No Ammonia	4	Post	2
G11	5°„C	5°„C		Ammonia	8.3	Post	5
H1	CONTROL	CONTROL	CONTROL	Ammonia	5.4	Post	0
H3	8°„C	8°„C		No Ammonia	4.4	Post	8
H4	4°„C	4°„C	4°„C	No Ammonia	4.5	Post	4
H5	2°„C	2°„C		No Ammonia	5.8	Post	2
H7	7°„C	7°„C		Ammonia	7.4	Post	7
H8	4°„C	4°„C	4°„C	Ammonia	6.7	Post	4
H9	1°„C	1°„C		Ammonia	4.7	Post	1
H10	CONTROL	CONTROL	CONTROL	Ammonia	6.9	Post	0
H11	4°„C	4°„C	4°„C	No Ammonia	7.8	Post	4
