Ponds	Group	Temperature	Treatment	Ammonia	BOD	Dosing
G7	RU		RU	Ammonia	4.2	Post
G8	CONTROL	CONTROL	CONTROL	No Ammonia	4.9	Post
G9	UR+RU+4°„C		UR+RU+4°„C	Ammonia	7.6	Post
G12	UR+RU+4°„C		UR+RU+4°„C	Ammonia	4.7	Post
H1	CONTROL	CONTROL	CONTROL	Ammonia	5.4	Post
H2	UR+RU		UR+RU	No Ammonia	5.9	Post
H4	4°„C	4°„C	4°„C	No Ammonia	4.5	Post
H6	UR		UR	Ammonia	4.3	Post
H8	4°„C	4°„C	4°„C	Ammonia	6.7	Post
H10	CONTROL	CONTROL	CONTROL	Ammonia	6.9	Post
H11	4°„C	4°„C	4°„C	No Ammonia	7.8	Post
H12	UR+RU		UR+RU	Ammonia	3	Post
