Group	Mean	SD	Date
4°„C	0.002899035	0.001560295	12-Apr
CONTROL	0.003448396	0.002699571	12-Apr
RURAL	0.022631368	0.030626245	12-Apr
URBAN	0.007149503	0.003775288	12-Apr
RU+UR	0.006038992	0.002580358	12-Apr
RU+UR+4°„C	0.00469527	0.005473216	12-Apr
4°„C	0.00377986	0.00651121	17-May
CONTROL	0.002501426	0.003016378	17-May
RURAL	0.010267874	0.015347628	17-May
URBAN	0.010309101	0.016072537	17-May
RU+UR	0.006823487	0.005083051	17-May
RU+UR+4°„C	0.007171109	0.006312616	17-May
